formato,audio,repeticion,baseline_kib,min_available_kib,delta_ram_kib,delta_ram_mib,rss_kib,rss_mib
base,test1.wav,1,12707352,12286320,421032,411.16,129396,126.36
base,test2.wav,1,12650358,12215044,435314,425.11,129168,126.14
base,test3.wav,1,12593924,12240016,353908,345.61,129128,126.10
base,test4.wav,1,12657598,12225364,432234,422.10,129128,126.10
base,test5.wav,1,12603782,12257722,346060,337.95,129168,126.14
base,test6.wav,1,12700298,12306738,393560,384.34,129252,126.22
base,test7.wav,1,12772660,12358616,414044,404.34,129112,126.09
base,test8.wav,1,12811240,12384495,426745,416.74,129248,126.22
base,test9.wav,1,12829192,12416004,413188,403.50,129276,126.25
base,test10.wav,1,12804300,12351850,452450,441.85,129072,126.05
base,test1.wav,2,12809336,12378684,430652,420.56,129232,126.20
base,test2.wav,2,12809564,12394802,414762,405.04,129056,126.03
base,test3.wav,2,12778488,12356804,421684,411.80,129332,126.30
base,test4.wav,2,12778436,12319203,459233,448.47,129168,126.14
base,test5.wav,2,12750664,12306248,444416,434.00,129168,126.14
base,test6.wav,2,12748916,12336828,412088,402.43,129272,126.24
base,test7.wav,2,12781292,12391140,390152,381.01,129188,126.16
base,test8.wav,2,12833306,12389845,443461,433.07,129132,126.11
base,test9.wav,2,12764956,12382127,382829,373.86,129112,126.09
base,test10.wav,2,12817884,12369620,448264,437.76,129124,126.10
base,test1.wav,3,12755956,12363957,391999,382.81,129204,126.18
base,test2.wav,3,12756106,12338641,417465,407.68,129012,125.99
base,test3.wav,3,12714086,12328324,385762,376.72,129288,126.26
base,test4.wav,3,12706724,12338416,368308,359.68,129140,126.11
base,test5.wav,3,12728736,12363344,365392,356.83,129164,126.14
base,test6.wav,3,12807450,12369900,437550,427.29,129332,126.30
base,test7.wav,3,12763474,12375696,387778,378.69,129220,126.19
base,test8.wav,3,12703204,12279676,423528,413.60,129176,126.15
base,test9.wav,3,12718936,12323275,395661,386.39,129252,126.22
base,test10.wav,3,12804498,12394520,409978,400.37,129360,126.33
tiny,test1.wav,1,12763646,12502195,261451,255.32,115268,112.57
tiny,test2.wav,1,12807540,12525159,282381,275.76,115152,112.45
tiny,test3.wav,1,12742856,12485708,257148,251.12,115256,112.55
tiny,test4.wav,1,12786968,12487104,299864,292.84,115336,112.63
tiny,test5.wav,1,12785532,12514588,270944,264.59,115404,112.70
tiny,test6.wav,1,12777866,12470112,307754,300.54,115412,112.71
tiny,test7.wav,1,12699856,12501176,198680,194.02,115336,112.63
tiny,test8.wav,1,12741392,12459844,281548,274.95,115348,112.64
tiny,test9.wav,1,12767286,12475557,291729,284.89,115264,112.56
tiny,test10.wav,1,12803348,12516625,286723,280.00,115484,112.78
tiny,test1.wav,2,12768250,12476153,292097,285.25,115160,112.46
tiny,test2.wav,2,12727500,12440645,286855,280.13,115408,112.70
tiny,test3.wav,2,12712730,12495483,217247,212.16,115480,112.77
tiny,test4.wav,2,12755574,12479100,276474,269.99,115288,112.59
tiny,test5.wav,2,12774924,12471141,303783,296.66,115436,112.73
tiny,test6.wav,2,12731712,12413988,317724,310.28,115452,112.75
tiny,test7.wav,2,12748464,12492661,255803,249.81,115364,112.66
tiny,test8.wav,2,12781920,12525351,256569,250.56,115400,112.70
tiny,test9.wav,2,12765562,12511005,254557,248.59,115292,112.59
tiny,test10.wav,2,12765808,12445579,320229,312.72,115348,112.64
tiny,test1.wav,3,12721746,12445779,275967,269.50,115308,112.61
tiny,test2.wav,3,12734260,12471056,263204,257.04,115268,112.57
tiny,test3.wav,3,12723304,12420118,303186,296.08,115364,112.66
tiny,test4.wav,3,12672978,12464729,208249,203.37,115356,112.65
tiny,test5.wav,3,12765434,12443605,321829,314.29,115248,112.55
tiny,test6.wav,3,12694990,12435216,259774,253.69,115344,112.64
tiny,test7.wav,3,12673046,12374577,298469,291.47,115088,112.39
tiny,test8.wav,3,12696624,12469689,226935,221.62,115456,112.75
tiny,test9.wav,3,12748932,12464491,284441,277.77,115472,112.77
tiny,test10.wav,3,12794732,12508909,285823,279.12,115400,112.70
q8_0,test1.wav,1,12824012,12533221,290791,283.98,114896,112.20
q8_0,test2.wav,1,12830866,12501060,329806,322.08,115352,112.65
q8_0,test3.wav,1,12900992,12545992,355000,346.68,115952,113.23
q8_0,test4.wav,1,12877786,12515016,362770,354.27,115396,112.69
q8_0,test5.wav,1,12885908,12555542,330366,322.62,114968,112.27
q8_0,test6.wav,1,12940956,12586856,354100,345.80,115372,112.67
q8_0,test7.wav,1,12924834,12577846,346988,338.86,115360,112.66
q8_0,test8.wav,1,12895324,12578124,317200,309.77,115020,112.32
q8_0,test9.wav,1,12875592,12483780,391812,382.63,115084,112.39
q8_0,test10.wav,1,12840480,12499971,340509,332.53,114916,112.22
q8_0,test1.wav,2,12834090,12493107,340983,332.99,114928,112.23
q8_0,test2.wav,2,12802190,12483928,318262,310.80,115620,112.91
q8_0,test3.wav,2,12867558,12513936,353622,345.33,114940,112.25
q8_0,test4.wav,2,12846400,12519970,326430,318.78,115448,112.74
q8_0,test5.wav,2,12892212,12533490,358722,350.31,115548,112.84
q8_0,test6.wav,2,12829960,12529704,300256,293.22,115536,112.83
q8_0,test7.wav,2,12906028,12560534,345494,337.40,114880,112.19
q8_0,test8.wav,2,12888190,12591608,296582,289.63,115372,112.67
