llm,condicion,media_wer,sigma_wer,media_chrf,alpha,sigma_chrf,sigma_chrf_observado,sigma_sistema
Gemma3:1B FP16,Referencia,0.000000,0.000000,79.444000,0.571650,3.949233,3.949233,3.949233
Gemma3:1B FP16,Base,10.010000,4.524478,72.698000,0.571650,3.949233,6.959359,4.720806
Gemma3:1B FP16,Tiny,22.090000,6.098926,66.529000,0.571650,3.949233,4.596724,5.267998
Gemma3:1B FP16,Base-Q8_0,9.570000,4.027915,71.556000,0.571650,3.949233,7.406978,4.571457
Gemma3:1B FP16,Base-Q5_1,11.510000,4.638631,71.167000,0.571650,3.949233,7.499772,4.756871
Gemma3:1B FP16,Base-Q4_0,13.920000,4.709310,70.970000,0.571650,3.949233,5.750473,4.779512
Gemma3:1B Q8_0,Referencia,0.000000,0.000000,78.568000,0.595598,4.381862,4.381862,4.381862
Gemma3:1B Q8_0,Base,10.010000,4.524478,71.807000,0.595598,4.381862,7.684436,5.144172
Gemma3:1B Q8_0,Tiny,22.090000,6.098926,65.116000,0.595598,4.381862,5.116145,5.691734
Gemma3:1B Q8_0,Base-Q8_0,9.570000,4.027915,70.878000,0.595598,4.381862,7.749544,4.995599
Gemma3:1B Q8_0,Base-Q5_1,11.510000,4.638631,70.884000,0.595598,4.381862,7.943622,5.180112
Gemma3:1B Q8_0,Base-Q4_0,13.920000,4.709310,70.037000,0.595598,4.381862,6.993180,5.202685
Gemma3:1B Q4_K_M,Referencia,0.000000,0.000000,78.891000,0.568396,4.732533,4.732533,4.732533
Gemma3:1B Q4_K_M,Base,10.010000,4.524478,72.542000,0.568396,4.732533,4.949301,5.386138
Gemma3:1B Q4_K_M,Tiny,22.090000,6.098926,65.430000,0.568396,4.732533,5.856195,5.866364
Gemma3:1B Q4_K_M,Base-Q8_0,9.570000,4.027915,72.038000,0.568396,4.732533,4.870342,5.257229
Gemma3:1B Q4_K_M,Base-Q5_1,11.510000,4.638631,72.862000,0.568396,4.732533,4.917086,5.417418
Gemma3:1B Q4_K_M,Base-Q4_0,13.920000,4.709310,73.409000,0.568396,4.732533,3.922781,5.437083
